nombre,id_ciudad
Averyl,2
Geri,2
Fraser,1
Garrard,1
Penelope,2
Julianne,2
Stanislaus,1
Shelia,2
Pearl,2
Rena,2
Ninnette,2
Rene,1
Jarib,1
Donall,1
Cosetta,1
Maura,1
Josee,1
Niccolo,2
Zonnya,2
Torrie,2
Gerda,2
Carmelina,1
Lorie,1
Jared,2
Lawry,1
Liza,2
Ladonna,1
Sasha,1
Hendrika,1
Jorrie,1
Nikoletta,1
Dina,2
Agace,2
Bartolemo,1
Fiann,1
Adham,1
Grethel,2
Onofredo,1
Ottilie,2
Beatrisa,2
Kanya,1
Delano,2
Dorella,1
Muffin,1
Jorrie,1
Antons,2
Kele,2
Randene,2
Lynda,2
Delcina,2
Ramon,1
Alister,1
Sayres,2
Murdock,1
Elmer,2
Mariann,1
Flint,2
Vito,2
Dani,1
Odey,1
Chaddie,2
Doralynn,2
Hildy,1
Chelsey,2
Thomasine,2
Jessica,2
Elyssa,2
Witty,1
Elia,2
Glendon,2
Vivia,2
Nester,1
Frankie,1
Martin,1
Royall,1
Linoel,1
Gregorio,1
Kari,1
Rabbi,2
Wilma,2
Amery,1
Steve,1
Duffie,2
Madalena,1
Leif,1
Penny,1
Dix,1
Lira,1
Pietra,2
Callean,2
Eimile,1
Benedetto,1
Dar,2
Kalinda,2
Loreen,1
Heindrick,1
Joanna,1
Dayna,2
Ermanno,2
Robinet,2
Augustin,1
Amie,1
Gaston,1
Edgar,2
Sydelle,1
Chase,1
Cort,1
Zacharias,2
Fabiano,2
Elise,2
Rudolf,1
Ada,2
Hussein,1
Eward,2
Rockwell,1
Lou,1
Joshua,2
Ivan,2
Craggy,2
Amabelle,2
Sheridan,1
Chickie,2
Josy,1
Portia,2
Darcie,1
Christiane,1
Jorrie,2
Corby,2
Chelsey,2
Franky,2
Jeana,1
Jesse,2
Berkly,1
Inger,1
Brandon,1
Daisie,1
Gloria,2
Sigfrid,2
Fergus,1
Ethelbert,2
Romona,2
Waverly,1
Porty,2
Rosy,2
Gaile,1
Lorraine,1
Caesar,2
Iseabal,2
Jasun,1
Micky,1
Kristien,2
Lowe,1
Micaela,1
Dorette,2
Mayne,2
Rolando,1
Denni,1
Shirl,1
Wandis,1
Riane,2
Drucill,1
Rene,1
Maryjo,1
Arnuad,2
Sapphira,1
Devlin,1
Giavani,1
Brad,1
Kasey,2
Thom,1
Allie,2
Burl,2
Jarred,1
Vanny,1
Chickie,1
Cob,1
Martguerita,2
Julianna,1
Ermengarde,1
